customer_id,platform_id,platform_customer_ref,first_order_date,delivery_area
1,2,P2-000001,2018-02-01,Taramani
2,2,P2-000002,2018-02-01,Thoraipakam
3,3,P3-000003,2018-02-01,Velachery
4,1,P1-000004,2018-02-01,Sholinganalur
5,1,P1-000005,2018-02-01,Thoraipakkam
6,3,P3-000006,2018-02-01,Thoraipakkam OMR
7,1,P1-000007,2018-02-02,Sholinganallur
8,4,P4-000008,2018-02-02,velachery
9,1,P1-000009,2018-02-02,Thiruvanmiyur
10,2,P2-000010,2018-02-02,Perungudi
11,3,P3-000011,2018-02-02,perungudi
12,3,P3-000012,2018-02-02,Kandanchawadi
13,2,P2-000013,2018-02-02,Siruseri
14,2,P2-000014,2018-02-02,Navalur
15,1,P1-000015,2018-02-02,thiruvanmiyur
16,3,P3-000016,2018-02-02,Perungudi.
17,2,P2-000017,2018-02-02,Thoraipakam
18,1,P1-000018,2018-02-03,sholinganallur
19,1,P1-000019,2018-02-03,Perungudi
20,1,P1-000020,2018-02-03,thiruvanmiyur
21,3,P3-000021,2018-02-03,Thoraipakam
22,3,P3-000022,2018-02-03,Perungalathur
23,3,P3-000023,2018-02-03,Taramani
24,1,P1-000024,2018-02-03,thoraipakkam
25,1,P1-000025,2018-02-03,Velachery
26,4,P4-000026,2018-02-03,Kandanchavadi 
27,4,P4-000027,2018-02-03,navalur
28,4,P4-000028,2018-02-03,Madhavaram
29,2,P2-000029,2018-02-03,taramani
30,1,P1-000030,2018-02-03,Perumgudi
31,2,P2-000031,2018-02-04,Thoraipakkam
32,4,P4-000032,2018-02-04,sholinganallur
33,1,P1-000033,2018-02-04,sholinganallur
34,1,P1-000034,2018-02-04,Taramani
35,2,P2-000035,2018-02-04,Velachery
36,4,P4-000036,2018-02-04,thoraipakkam
37,3,P3-000037,2018-02-04,Thiruvanmiyur
38,3,P3-000038,2018-02-04,Karapakkam
39,3,P3-000039,2018-02-04,navalur
40,1,P1-000040,2018-02-04,navalur
41,2,P2-000041,2018-02-04,Thoraipakkam OMR
42,1,P1-000042,2018-02-04,thiruvanmiyur
43,2,P2-000043,2018-02-04,Perumgudi
44,2,P2-000044,2018-02-04,Navalur
45,1,P1-000045,2018-02-04,thiruvanmiyur
46,1,P1-000046,2018-02-04,Thoraipakam
47,2,P2-000047,2018-02-04,Perungudi
48,1,P1-000048,2018-02-04,Taramani
49,4,P4-000049,2018-02-04,Kandanchavadi 
50,2,P2-000050,2018-02-05,sholinganallur
51,1,P1-000051,2018-02-05,Thoraipakkam OMR
52,3,P3-000052,2018-02-05,Thoraipakkam
53,1,P1-000053,2018-02-05,Siruseri
54,3,P3-000054,2018-02-05,Kandanchavadi 
55,2,P2-000055,2018-02-05,Madhavaram
56,1,P1-000056,2018-02-05,Kandanchavadi 
57,1,P1-000057,2018-02-06,Velacherry
58,2,P2-000058,2018-02-06,kandanchavadi
59,2,P2-000059,2018-02-06,thoraipakkam
60,2,P2-000060,2018-02-06,Thoraipakam
61,1,P1-000061,2018-02-06,sholinganallur
62,3,P3-000062,2018-02-07,kandanchavadi
63,4,P4-000063,2018-02-07,Thoraipakkam OMR
64,2,P2-000064,2018-02-07,Perumgudi
65,3,P3-000065,2018-02-07,Thoraipakkam
66,2,P2-000066,2018-02-07,Velachery
67,2,P2-000067,2018-02-08,kandanchavadi
