expense_id,outlet_id,expense_month,expense_category,amount,cost_behaviour
1,1,2018-02-01,staff,44000.0,semi_variable
2,1,2018-02-01,rent,10000,fixed
3,1,2018-02-01,utilities,5000.0,semi_variable
4,1,2018-02-01,gas_consumables,4000.0,semi_variable
5,1,2018-02-01,procurement_travel,13500,semi_variable
6,1,2018-02-01,repairs,711.25,fixed
7,1,2018-02-01,packaging_extra,1106.61,variable
8,1,2018-02-01,advertising,3141.55,variable
9,,2018-02-01,compliance,1200,fixed
10,1,2018-03-01,staff,44000.0,semi_variable
11,1,2018-03-01,rent,10000,fixed
12,1,2018-03-01,utilities,5000.0,semi_variable
13,1,2018-03-01,gas_consumables,4000.0,semi_variable
14,1,2018-03-01,procurement_travel,13500,semi_variable
15,1,2018-03-01,repairs,1441.17,fixed
16,1,2018-03-01,packaging_extra,1202.88,variable
17,1,2018-03-01,advertising,4046.15,variable
18,,2018-03-01,compliance,1200,fixed
19,1,2018-04-01,staff,44000.0,semi_variable
20,1,2018-04-01,rent,10000,fixed
21,1,2018-04-01,utilities,5000.0,semi_variable
22,1,2018-04-01,gas_consumables,4000.0,semi_variable
23,1,2018-04-01,procurement_travel,13500,semi_variable
24,1,2018-04-01,repairs,878.49,fixed
25,1,2018-04-01,packaging_extra,1275.58,variable
26,1,2018-04-01,advertising,4337.57,variable
27,,2018-04-01,compliance,1200,fixed
28,1,2018-05-01,staff,40000.0,semi_variable
29,1,2018-05-01,rent,10000,fixed
30,1,2018-05-01,utilities,5000.0,semi_variable
31,1,2018-05-01,gas_consumables,4000.0,semi_variable
32,1,2018-05-01,procurement_travel,13500,semi_variable
33,1,2018-05-01,repairs,684.74,fixed
34,1,2018-05-01,packaging_extra,773.45,variable
35,1,2018-05-01,advertising,4650.05,variable
36,,2018-05-01,compliance,1200,fixed
37,1,2018-06-01,staff,40000.0,semi_variable
38,1,2018-06-01,rent,10000,fixed
39,1,2018-06-01,utilities,5000.0,semi_variable
40,1,2018-06-01,gas_consumables,4000.0,semi_variable
41,1,2018-06-01,procurement_travel,13500,semi_variable
42,1,2018-06-01,repairs,1720.98,fixed
43,1,2018-06-01,packaging_extra,788.04,variable
44,1,2018-06-01,advertising,5290.0,variable
45,,2018-06-01,compliance,1200,fixed
46,1,2018-07-01,staff,40000.0,semi_variable
47,1,2018-07-01,rent,10000,fixed
48,1,2018-07-01,utilities,5000.0,semi_variable
49,1,2018-07-01,gas_consumables,4000.0,semi_variable
50,1,2018-07-01,procurement_travel,13500,semi_variable
51,1,2018-07-01,repairs,777.8,fixed
52,1,2018-07-01,packaging_extra,841.68,variable
53,1,2018-07-01,advertising,5840.47,variable
54,,2018-07-01,compliance,1200,fixed
55,1,2018-08-01,staff,40000.0,semi_variable
56,1,2018-08-01,rent,10000,fixed
57,1,2018-08-01,utilities,5000.0,semi_variable
58,1,2018-08-01,gas_consumables,4000.0,semi_variable
59,1,2018-08-01,procurement_travel,6000,semi_variable
60,1,2018-08-01,repairs,444.06,fixed
61,1,2018-08-01,packaging_extra,754.01,variable
62,1,2018-08-01,advertising,6168.2,variable
63,,2018-08-01,compliance,1200,fixed
64,1,2018-09-01,staff,40000.0,semi_variable
65,1,2018-09-01,rent,10000,fixed
66,1,2018-09-01,utilities,5000.0,semi_variable
67,1,2018-09-01,gas_consumables,4000.0,semi_variable
68,1,2018-09-01,procurement_travel,6000,semi_variable
69,1,2018-09-01,repairs,1150.77,fixed
70,1,2018-09-01,packaging_extra,1144.8,variable
71,1,2018-09-01,advertising,6666.87,variable
72,,2018-09-01,compliance,1200,fixed
73,1,2018-10-01,staff,40000.0,semi_variable
74,1,2018-10-01,rent,10000,fixed
75,1,2018-10-01,utilities,5000.0,semi_variable
76,1,2018-10-01,gas_consumables,4000.0,semi_variable
77,1,2018-10-01,procurement_travel,6000,semi_variable
78,1,2018-10-01,repairs,828.3,fixed
79,1,2018-10-01,packaging_extra,1087.13,variable
80,1,2018-10-01,advertising,6654.34,variable
81,,2018-10-01,compliance,1200,fixed
82,1,2018-11-01,staff,40000.0,semi_variable
83,1,2018-11-01,rent,10000,fixed
