availability_id,outlet_id,menu_item_id,availability_date,batch_prepared_qty,sold_out_time,estimated_lost_orders
1,1,1,2018-02-01,1,,0
2,1,2,2018-02-01,1,,0
3,1,3,2018-02-01,1,,0
4,1,5,2018-02-01,1,,0
5,1,6,2018-02-01,1,,0
6,1,8,2018-02-01,1,,0
7,1,9,2018-02-01,1,,0
8,1,10,2018-02-01,1,,0
9,1,11,2018-02-01,1,,0
10,1,1,2018-02-02,2,,0
11,1,2,2018-02-02,2,,0
12,1,3,2018-02-02,1,,0
13,1,5,2018-02-02,2,,0
14,1,6,2018-02-02,1,,0
15,1,8,2018-02-02,2,,0
16,1,9,2018-02-02,1,,0
17,1,10,2018-02-02,1,,0
18,1,11,2018-02-02,1,,0
19,1,1,2018-02-03,2,,0
20,1,2,2018-02-03,3,,0
21,1,3,2018-02-03,2,,0
22,1,5,2018-02-03,2,,0
23,1,6,2018-02-03,1,,0
24,1,8,2018-02-03,2,,0
25,1,9,2018-02-03,1,,0
26,1,10,2018-02-03,1,,0
27,1,11,2018-02-03,1,,0
28,1,1,2018-02-04,4,,0
29,1,2,2018-02-04,4,,0
30,1,3,2018-02-04,3,,0
31,1,5,2018-02-04,3,,0
32,1,6,2018-02-04,2,,0
33,1,8,2018-02-04,3,,0
34,1,9,2018-02-04,1,,0
35,1,10,2018-02-04,1,,0
36,1,11,2018-02-04,1,,0
37,1,1,2018-02-05,1,,0
38,1,2,2018-02-05,1,,0
39,1,3,2018-02-05,1,,0
40,1,5,2018-02-05,1,,0
41,1,6,2018-02-05,1,,0
42,1,8,2018-02-05,1,,0
43,1,9,2018-02-05,1,,0
44,1,10,2018-02-05,1,,0
45,1,11,2018-02-05,1,,0
46,1,1,2018-02-06,1,,0
47,1,2,2018-02-06,2,,0
48,1,3,2018-02-06,1,,0
49,1,5,2018-02-06,1,,0
50,1,6,2018-02-06,1,,0
51,1,8,2018-02-06,1,,0
52,1,9,2018-02-06,1,,0
53,1,10,2018-02-06,1,21:19:00,5
54,1,11,2018-02-06,1,,0
55,1,1,2018-02-07,1,,0
56,1,2,2018-02-07,2,,0
57,1,3,2018-02-07,1,,0
58,1,5,2018-02-07,1,,0
59,1,6,2018-02-07,1,,0
60,1,8,2018-02-07,1,,0
61,1,9,2018-02-07,1,,0
62,1,10,2018-02-07,1,,0
63,1,11,2018-02-07,1,,0
64,1,1,2018-02-08,1,,0
65,1,2,2018-02-08,2,,0
66,1,3,2018-02-08,1,,0
67,1,5,2018-02-08,1,,0
68,1,6,2018-02-08,1,,0
69,1,8,2018-02-08,1,,0
70,1,9,2018-02-08,1,,0
71,1,10,2018-02-08,1,,0
72,1,11,2018-02-08,1,,0
73,1,1,2018-02-09,1,,0
74,1,2,2018-02-09,1,,0
75,1,3,2018-02-09,1,,0
76,1,5,2018-02-09,1,,0
77,1,6,2018-02-09,1,,0
78,1,8,2018-02-09,1,,0
79,1,9,2018-02-09,1,,0
80,1,10,2018-02-09,1,,0
81,1,11,2018-02-09,1,,0
82,1,1,2018-02-10,2,,0
83,1,2,2018-02-10,3,,0
84,1,3,2018-02-10,2,,0
85,1,5,2018-02-10,2,,0
86,1,6,2018-02-10,1,,0
87,1,8,2018-02-10,2,,0
88,1,9,2018-02-10,1,,0
89,1,10,2018-02-10,1,,0
90,1,11,2018-02-10,1,,0
91,1,1,2018-02-11,4,,0
92,1,2,2018-02-11,4,,0
93,1,3,2018-02-11,3,,0
94,1,5,2018-02-11,3,,0
95,1,6,2018-02-11,2,,0
96,1,8,2018-02-11,3,,0
97,1,9,2018-02-11,1,,0
98,1,10,2018-02-11,1,,0
99,1,11,2018-02-11,1,,0
100,1,1,2018-02-12,1,,0
101,1,2,2018-02-12,2,,0
102,1,3,2018-02-12,1,22:28:00,3
103,1,5,2018-02-12,1,,0
104,1,6,2018-02-12,1,,0
105,1,8,2018-02-12,1,,0
106,1,9,2018-02-12,1,,0
107,1,10,2018-02-12,1,,0
108,1,11,2018-02-12,1,,0
109,1,1,2018-02-13,1,,0
110,1,2,2018-02-13,1,,0
111,1,3,2018-02-13,1,,0
112,1,5,2018-02-13,1,,0
113,1,6,2018-02-13,1,,0
114,1,8,2018-02-13,1,,0
115,1,9,2018-02-13,1,,0
116,1,10,2018-02-13,1,,0
117,1,11,2018-02-13,1,,0
118,1,1,2018-02-14,1,,0
119,1,2,2018-02-14,2,,0
120,1,3,2018-02-14,1,,0
121,1,5,2018-02-14,1,,0
122,1,6,2018-02-14,1,,0
123,1,8,2018-02-14,1,,0
124,1,9,2018-02-14,1,,0
125,1,10,2018-02-14,1,,0
126,1,11,2018-02-14,1,,0
127,1,1,2018-02-15,2,,0
128,1,2,2018-02-15,2,,0
129,1,3,2018-02-15,1,,0
130,1,5,2018-02-15,2,,0
131,1,6,2018-02-15,1,,0
132,1,8,2018-02-15,2,,0
133,1,9,2018-02-15,1,,0
134,1,10,2018-02-15,1,,0
135,1,11,2018-02-15,1,,0
136,1,1,2018-02-16,1,,0
137,1,2,2018-02-16,1,,0
138,1,3,2018-02-16,1,,0
139,1,5,2018-02-16,1,,0
140,1,6,2018-02-16,1,,0
141,1,8,2018-02-16,1,,0
142,1,9,2018-02-16,1,,0
143,1,10,2018-02-16,1,,0
144,1,11,2018-02-16,1,,0
145,1,1,2018-02-17,3,,0
146,1,2,2018-02-17,3,,0
147,1,3,2018-02-17,2,,0
148,1,5,2018-02-17,2,,0
149,1,6,2018-02-17,1,,0
150,1,8,2018-02-17,2,,0
151,1,9,2018-02-17,1,,0
152,1,10,2018-02-17,1,,0
153,1,11,2018-02-17,1,,0
154,1,1,2018-02-18,4,,0
155,1,2,2018-02-18,4,,0
156,1,3,2018-02-18,3,,0
157,1,5,2018-02-18,3,,0
158,1,6,2018-02-18,2,,0
159,1,8,2018-02-18,3,,0
160,1,9,2018-02-18,1,,0
161,1,10,2018-02-18,1,,0
162,1,11,2018-02-18,1,,0
163,1,1,2018-02-19,1,,0
164,1,2,2018-02-19,2,,0
165,1,3,2018-02-19,1,,0
166,1,5,2018-02-19,1,,0
167,1,6,2018-02-19,1,21:51:00,3
168,1,8,2018-02-19,1,,0
169,1,9,2018-02-19,1,,0
170,1,10,2018-02-19,1,,0
171,1,11,2018-02-19,1,,0
172,1,1,2018-02-20,1,,0
173,1,2,2018-02-20,1,,0
174,1,3,2018-02-20,1,,0
175,1,5,2018-02-20,1,,0
176,1,6,2018-02-20,1,,0
177,1,8,2018-02-20,1,20:56:00,5
178,1,9,2018-02-20,1,,0
179,1,10,2018-02-20,1,,0
180,1,11,2018-02-20,1,,0
181,1,1,2018-02-21,2,,0
182,1,2,2018-02-21,2,,0
183,1,3,2018-02-21,1,,0
184,1,5,2018-02-21,1,,0
185,1,6,2018-02-21,1,,0
186,1,8,2018-02-21,1,,0
187,1,9,2018-02-21,1,,0
188,1,10,2018-02-21,1,,0
189,1,11,2018-02-21,1,,0
190,1,1,2018-02-22,1,,0
191,1,2,2018-02-22,1,,0
192,1,3,2018-02-22,1,,0
193,1,5,2018-02-22,1,,0
194,1,6,2018-02-22,1,,0
195,1,8,2018-02-22,1,,0
196,1,9,2018-02-22,1,,0
197,1,10,2018-02-22,1,,0
198,1,11,2018-02-22,1,,0
