order_id,customer_id,outlet_id,platform_id,order_datetime,order_status,cancellation_reason,gross_order_value,platform_funded_discount,restaurant_funded_discount,net_order_value,commission_amount,other_deductions,customer_delivery_fee,refund_amount,restaurant_settlement,packaging_cost,promised_minutes,prep_minutes,delivery_minutes,rating,basket_type,is_combo_order
1,1,1,2,2018-02-01 22:22:44,completed,,544.5,113.09,0.0,431.41,152.46,3.81,73.51,0.0,275.14,15.0,40,22,21,,2 mains,1
2,1,1,2,2018-02-01 19:04:05,completed,,311.0,83.44,0.0,227.56,87.08,2.18,41.98,0.0,138.31,15.0,40,19,10,4,1 main,0
3,2,1,2,2018-02-01 22:01:41,completed,,329.0,0.0,0.0,329.0,92.12,2.3,44.42,0.0,234.58,15.0,40,25,14,,1 main,0
4,3,1,3,2018-02-01 19:23:46,completed,,387.0,0.0,37.9,349.1,108.36,2.52,46.44,0.0,238.23,15.0,40,20,24,5,1 main + add-on,0
5,4,1,1,2018-02-01 19:00:26,completed,,538.0,0.0,36.79,501.21,150.64,3.77,69.94,0.0,346.81,15.0,40,25,16,5,2 mains,0
6,5,1,1,2018-02-01 16:55:11,completed,,392.0,49.67,0.0,342.33,109.76,2.74,50.96,0.0,229.83,15.0,40,20,16,1,1 main + beverage,0
7,6,1,3,2018-02-01 16:53:43,completed,,606.0,0.0,0.0,606.0,169.68,3.94,72.72,0.0,432.38,15.0,40,21,27,,2 mains,0
8,4,1,1,2018-02-02 19:19:53,completed,,307.0,74.59,0.0,232.41,85.96,2.15,39.91,0.0,144.3,15.0,40,17,10,4,1 main + beverage,0
9,1,1,2,2018-02-02 14:30:01,completed,,582.0,0.0,95.26,486.74,162.96,4.07,78.57,0.0,319.7,15.0,40,20,12,,2 mains,0
10,7,1,1,2018-02-02 11:11:59,completed,,342.0,66.83,0.0,275.17,95.76,2.39,44.46,0.0,177.01,15.0,40,18,35,,1 main,0
11,8,1,4,2018-02-02 14:53:06,completed,,574.0,64.06,0.0,509.94,160.72,3.44,71.75,0.0,345.77,15.0,40,28,29,5,2 mains + beverage,0
12,9,1,1,2018-02-02 21:04:02,completed,,311.0,0.0,49.36,261.64,87.08,2.18,40.43,0.0,172.39,15.0,40,27,22,1,1 main + beverage,0
13,10,1,2,2018-02-02 17:19:01,completed,,298.0,0.0,0.0,298.0,83.44,2.09,40.23,0.0,212.47,15.0,40,13,21,,1 main + beverage,0
14,11,1,3,2018-02-02 11:04:59,completed,,339.0,114.14,0.0,224.86,94.92,2.2,40.68,0.0,127.73,15.0,40,21,12,5,1 main,0
15,12,1,3,2018-02-02 19:18:50,completed,,267.0,0.0,32.43,234.57,74.76,1.74,32.04,0.0,158.07,15.0,40,21,30,5,1 main,0
16,13,1,2,2018-02-02 11:59:35,completed,,600.0,116.96,0.0,483.04,168.0,4.2,81.0,0.0,310.84,15.0,40,12,32,4,2 mains,0
17,14,1,2,2018-02-02 11:00:38,completed,,345.0,0.0,0.0,345.0,96.6,2.42,46.58,0.0,245.98,15.0,40,23,25,4,1 main,0
18,15,1,1,2018-02-02 18:12:21,completed,,269.0,0.0,0.0,269.0,75.32,1.88,34.97,0.0,191.8,15.0,40,24,20,,1 main,0
19,16,1,3,2018-02-02 19:13:38,completed,,551.0,0.0,0.0,551.0,154.28,3.58,66.12,0.0,393.14,15.0,40,15,22,4,2 mains,0
20,17,1,2,2018-02-02 13:53:45,completed,,575.0,0.0,0.0,575.0,161.0,4.03,77.62,0.0,409.98,15.0,40,23,27,5,2 mains + beverage,0
21,18,1,1,2018-02-03 22:25:55,completed,,279.9,0.0,0.0,279.9,78.37,1.96,36.39,0.0,199.57,15.0,45,18,17,,1 main + beverage,1
22,7,1,1,2018-02-03 17:23:26,completed,,390.0,0.0,0.0,390.0,109.2,2.73,50.7,0.0,278.07,15.0,45,22,19,4,1 main + add-on,0
23,19,1,1,2018-02-03 20:20:57,cancelled,platform technical issue,342.0,45.88,0.0,296.12,95.76,2.39,44.46,0.0,197.97,0.0,45,25,24,,1 main,0
24,20,1,1,2018-02-03 13:43:29,completed,,325.0,82.03,0.0,242.97,91.0,2.27,42.25,0.0,149.7,15.0,45,29,38,,1 main,0
25,21,1,3,2018-02-03 12:04:40,completed,,644.0,154.95,0.0,489.05,180.32,4.19,77.28,0.0,304.54,15.0,45,23,28,,2 mains,0
26,8,1,4,2018-02-03 21:17:29,completed,,281.0,0.0,0.0,281.0,78.68,1.69,35.12,0.0,200.63,15.0,45,17,15,4,1 main + beverage,0
27,22,1,3,2018-02-03 21:25:15,completed,,545.0,0.0,0.0,545.0,152.6,3.54,65.4,0.0,388.86,15.0,45,23,24,5,2 mains,0
28,23,1,3,2018-02-03 12:12:24,completed,,293.0,0.0,0.0,293.0,82.04,1.9,35.16,0.0,209.06,15.0,45,28,25,5,1 main + beverage,0
29,24,1,1,2018-02-03 19:05:45,completed,,684.0,140.22,0.0,543.78,191.52,4.79,88.92,0.0,347.47,15.0,45,22,25,,2 mains,0
30,25,1,1,2018-02-03 21:09:11,completed,,325.0,48.37,0.0,276.63,91.0,2.27,42.25,0.0,183.35,15.0,45,19,28,5,1 main,0
31,8,1,4,2018-02-03 13:43:34,completed,,271.0,51.51,0.0,219.49,75.88,1.63,33.88,0.0,141.99,15.0,45,18,20,5,1 main,0
32,26,1,4,2018-02-03 22:30:49,cancelled,item unavailable,266.0,0.0,41.93,224.07,74.48,1.6,33.25,0.0,147.99,0.0,45,17,24,,1 main,0
33,27,1,4,2018-02-03 11:06:44,cancelled,customer cancelled,304.0,0.0,0.0,304.0,85.12,1.82,38.0,0.0,217.06,0.0,45,12,19,,1 main,0
34,19,1,1,2018-02-03 22:05:15,completed,,308.0,0.0,42.4,265.6,86.24,2.16,40.04,0.0,177.2,15.0,45,23,21,5,1 main,0
35,28,1,4,2018-02-03 14:11:32,completed,,830.0,69.67,0.0,760.33,232.4,4.98,103.75,0.0,522.95,15.0,45,23,25,4,3 mains,0
36,29,1,2,2018-02-03 11:56:28,completed,,314.0,0.0,33.04,280.96,87.92,2.2,42.39,0.0,190.84,15.0,45,22,19,2,1 main + beverage,0
37,30,1,1,2018-02-03 20:27:40,completed,,384.0,0.0,0.0,384.0,107.52,2.69,49.92,0.0,273.79,15.0,45,22,27,5,1 main + beverage,0
38,31,1,2,2018-02-04 13:06:16,completed,,271.0,0.0,20.27,250.73,75.88,1.9,36.59,0.0,172.96,15.0,45,16,28,,1 main,0
39,32,1,4,2018-02-04 11:34:30,completed,,304.0,0.0,0.0,304.0,85.12,1.82,38.0,0.0,217.06,15.0,45,27,15,5,1 main,0
40,33,1,1,2018-02-04 17:00:34,completed,,269.0,0.0,0.0,269.0,75.32,1.88,34.97,0.0,191.8,15.0,45,28,21,3,1 main,0
