wastage_id,outlet_id,wastage_date,waste_type,quantity_kg,estimated_cost,reason
1,1,2018-02-01,prep_waste,1.4,146.69,pre-optimisation batch sizing
2,1,2018-02-01,unsold_cooked,0.56,80.74,pre-optimisation batch sizing
3,1,2018-02-01,spoilage,0.2,27.99,pre-optimisation batch sizing
4,1,2018-02-01,returned_order,0.02,2.33,pre-optimisation batch sizing
5,1,2018-02-02,prep_waste,0.65,86.15,pre-optimisation batch sizing
6,1,2018-02-02,unsold_cooked,0.78,90.28,pre-optimisation batch sizing
7,1,2018-02-02,spoilage,0.18,19.23,pre-optimisation batch sizing
8,1,2018-02-02,returned_order,0.02,2.16,pre-optimisation batch sizing
9,1,2018-02-03,prep_waste,1.33,169.03,pre-optimisation batch sizing
10,1,2018-02-03,unsold_cooked,0.79,88.03,pre-optimisation batch sizing
11,1,2018-02-03,spoilage,0.15,21.33,pre-optimisation batch sizing
12,1,2018-02-03,returned_order,0.02,2.93,pre-optimisation batch sizing
13,1,2018-02-04,prep_waste,0.89,116.02,pre-optimisation batch sizing
14,1,2018-02-04,unsold_cooked,0.48,57.48,pre-optimisation batch sizing
15,1,2018-02-04,spoilage,0.22,27.08,pre-optimisation batch sizing
16,1,2018-02-04,returned_order,0.02,2.11,pre-optimisation batch sizing
17,1,2018-02-05,prep_waste,1.25,134.55,pre-optimisation batch sizing
18,1,2018-02-05,unsold_cooked,0.78,116.56,pre-optimisation batch sizing
19,1,2018-02-05,spoilage,0.17,22.07,pre-optimisation batch sizing
20,1,2018-02-05,returned_order,0.79,109.98,pre-optimisation batch sizing
21,1,2018-02-06,prep_waste,0.65,94.94,pre-optimisation batch sizing
22,1,2018-02-06,unsold_cooked,0.56,67.67,pre-optimisation batch sizing
23,1,2018-02-06,spoilage,0.19,29.73,pre-optimisation batch sizing
24,1,2018-02-06,returned_order,0.02,2.77,pre-optimisation batch sizing
25,1,2018-02-07,prep_waste,0.92,101.97,pre-optimisation batch sizing
26,1,2018-02-07,unsold_cooked,0.75,96.82,pre-optimisation batch sizing
27,1,2018-02-07,spoilage,0.19,24.4,pre-optimisation batch sizing
28,1,2018-02-07,returned_order,0.02,2.83,pre-optimisation batch sizing
29,1,2018-02-08,prep_waste,1.48,193.18,pre-optimisation batch sizing
30,1,2018-02-08,unsold_cooked,0.73,102.03,pre-optimisation batch sizing
31,1,2018-02-08,spoilage,0.19,20.24,pre-optimisation batch sizing
32,1,2018-02-08,returned_order,0.02,2.92,pre-optimisation batch sizing
33,1,2018-02-09,prep_waste,0.92,104.29,pre-optimisation batch sizing
34,1,2018-02-09,unsold_cooked,0.38,48.86,pre-optimisation batch sizing
35,1,2018-02-09,spoilage,0.23,26.4,pre-optimisation batch sizing
36,1,2018-02-09,returned_order,0.02,2.4,pre-optimisation batch sizing
37,1,2018-02-10,prep_waste,1.09,115.91,pre-optimisation batch sizing
38,1,2018-02-10,unsold_cooked,0.78,103.99,pre-optimisation batch sizing
39,1,2018-02-10,spoilage,0.23,33.84,pre-optimisation batch sizing
40,1,2018-02-10,returned_order,0.02,2.75,pre-optimisation batch sizing
41,1,2018-02-11,prep_waste,0.79,106.45,pre-optimisation batch sizing
42,1,2018-02-11,unsold_cooked,0.47,51.5,pre-optimisation batch sizing
43,1,2018-02-11,spoilage,0.17,24.28,pre-optimisation batch sizing
44,1,2018-02-11,returned_order,0.02,2.47,pre-optimisation batch sizing
45,1,2018-02-12,prep_waste,1.09,158.2,pre-optimisation batch sizing
46,1,2018-02-12,unsold_cooked,0.5,69.65,pre-optimisation batch sizing
47,1,2018-02-12,spoilage,0.17,23.07,pre-optimisation batch sizing
48,1,2018-02-12,returned_order,0.02,2.38,pre-optimisation batch sizing
49,1,2018-02-13,prep_waste,1.03,137.51,pre-optimisation batch sizing
50,1,2018-02-13,unsold_cooked,0.69,93.53,pre-optimisation batch sizing
51,1,2018-02-13,spoilage,0.22,29.96,pre-optimisation batch sizing
52,1,2018-02-13,returned_order,0.02,2.8,pre-optimisation batch sizing
53,1,2018-02-14,prep_waste,1.34,183.83,pre-optimisation batch sizing
54,1,2018-02-14,unsold_cooked,0.39,45.39,pre-optimisation batch sizing
55,1,2018-02-14,spoilage,0.21,30.71,pre-optimisation batch sizing
56,1,2018-02-14,returned_order,0.02,2.95,pre-optimisation batch sizing
57,1,2018-02-15,prep_waste,1.35,195.96,pre-optimisation batch sizing
58,1,2018-02-15,unsold_cooked,0.66,78.67,pre-optimisation batch sizing
59,1,2018-02-15,spoilage,0.24,31.82,pre-optimisation batch sizing
60,1,2018-02-15,returned_order,0.02,2.14,pre-optimisation batch sizing
61,1,2018-02-16,prep_waste,0.98,105.02,pre-optimisation batch sizing
62,1,2018-02-16,unsold_cooked,0.46,55.86,pre-optimisation batch sizing
63,1,2018-02-16,spoilage,0.12,13.37,pre-optimisation batch sizing
64,1,2018-02-16,returned_order,1.56,239.48,pre-optimisation batch sizing
65,1,2018-02-17,prep_waste,0.86,122.82,pre-optimisation batch sizing
66,1,2018-02-17,unsold_cooked,0.58,86.11,pre-optimisation batch sizing
67,1,2018-02-17,spoilage,0.13,14.31,pre-optimisation batch sizing
68,1,2018-02-17,returned_order,0.82,96.47,pre-optimisation batch sizing
69,1,2018-02-18,prep_waste,0.73,111.0,pre-optimisation batch sizing
70,1,2018-02-18,unsold_cooked,0.59,72.74,pre-optimisation batch sizing
71,1,2018-02-18,spoilage,0.24,26.68,pre-optimisation batch sizing
72,1,2018-02-18,returned_order,0.02,2.34,pre-optimisation batch sizing
73,1,2018-02-19,prep_waste,1.22,187.56,pre-optimisation batch sizing
74,1,2018-02-19,unsold_cooked,0.39,53.46,pre-optimisation batch sizing
75,1,2018-02-19,spoilage,0.24,36.61,pre-optimisation batch sizing
76,1,2018-02-19,returned_order,0.02,2.26,pre-optimisation batch sizing
77,1,2018-02-20,prep_waste,1.4,159.88,pre-optimisation batch sizing
78,1,2018-02-20,unsold_cooked,0.39,47.15,pre-optimisation batch sizing
79,1,2018-02-20,spoilage,0.25,32.04,pre-optimisation batch sizing
80,1,2018-02-20,returned_order,0.02,2.11,pre-optimisation batch sizing
81,1,2018-02-21,prep_waste,1.41,213.03,pre-optimisation batch sizing
82,1,2018-02-21,unsold_cooked,0.73,80.7,pre-optimisation batch sizing
83,1,2018-02-21,spoilage,0.14,18.26,pre-optimisation batch sizing
84,1,2018-02-21,returned_order,0.02,2.86,pre-optimisation batch sizing
85,1,2018-02-22,prep_waste,0.89,94.79,pre-optimisation batch sizing
86,1,2018-02-22,unsold_cooked,0.61,64.79,pre-optimisation batch sizing
87,1,2018-02-22,spoilage,0.25,30.31,pre-optimisation batch sizing
88,1,2018-02-22,returned_order,0.02,2.73,pre-optimisation batch sizing
89,1,2018-02-23,prep_waste,1.09,156.53,pre-optimisation batch sizing
90,1,2018-02-23,unsold_cooked,0.48,67.46,pre-optimisation batch sizing
91,1,2018-02-23,spoilage,0.23,28.17,pre-optimisation batch sizing
92,1,2018-02-23,returned_order,0.02,2.23,pre-optimisation batch sizing
93,1,2018-02-24,prep_waste,1.22,170.74,pre-optimisation batch sizing
94,1,2018-02-24,unsold_cooked,0.54,78.54,pre-optimisation batch sizing
95,1,2018-02-24,spoilage,0.12,15.15,pre-optimisation batch sizing
96,1,2018-02-24,returned_order,0.02,2.99,pre-optimisation batch sizing
97,1,2018-02-25,prep_waste,0.82,103.34,pre-optimisation batch sizing
98,1,2018-02-25,unsold_cooked,0.44,53.32,pre-optimisation batch sizing
99,1,2018-02-25,spoilage,0.26,32.24,pre-optimisation batch sizing
100,1,2018-02-25,returned_order,0.02,2.55,pre-optimisation batch sizing
101,1,2018-02-26,prep_waste,1.48,192.22,pre-optimisation batch sizing
102,1,2018-02-26,unsold_cooked,0.75,106.65,pre-optimisation batch sizing
103,1,2018-02-26,spoilage,0.21,22.59,pre-optimisation batch sizing
104,1,2018-02-26,returned_order,0.02,2.26,pre-optimisation batch sizing
105,1,2018-02-27,prep_waste,0.91,96.36,pre-optimisation batch sizing
106,1,2018-02-27,unsold_cooked,0.73,93.58,pre-optimisation batch sizing
107,1,2018-02-27,spoilage,0.12,12.86,pre-optimisation batch sizing
108,1,2018-02-27,returned_order,0.02,2.27,pre-optimisation batch sizing
109,1,2018-02-28,prep_waste,1.51,165.24,pre-optimisation batch sizing
110,1,2018-02-28,unsold_cooked,0.46,58.39,pre-optimisation batch sizing
111,1,2018-02-28,spoilage,0.15,19.97,pre-optimisation batch sizing
112,1,2018-02-28,returned_order,0.02,2.77,pre-optimisation batch sizing
113,1,2018-03-01,prep_waste,1.24,156.25,pre-optimisation batch sizing
114,1,2018-03-01,unsold_cooked,0.42,64.17,pre-optimisation batch sizing
115,1,2018-03-01,spoilage,0.23,24.96,pre-optimisation batch sizing
116,1,2018-03-01,returned_order,0.02,2.83,pre-optimisation batch sizing
117,1,2018-03-02,prep_waste,0.96,118.16,pre-optimisation batch sizing
118,1,2018-03-02,unsold_cooked,0.55,82.58,pre-optimisation batch sizing
119,1,2018-03-02,spoilage,0.14,18.76,pre-optimisation batch sizing
120,1,2018-03-02,returned_order,0.02,2.48,pre-optimisation batch sizing
